,username,description,location,text,hashtags
42,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"#ElectionsOnMyPlate | Gauging the political pulse of #UttaraPradesh while exploring the food lanes of state capital – #Lucknow.
@SardesaiRajdeep | #ITLivestream #UttarPradeshElections2022 #UttarPradeshElections
 https://t.co/Wl8YO1pcfU","['ElectionsOnMyPlate', 'UttaraPradesh', 'Lucknow', 'ITLivestream', 'UttarPradeshElections2022', 'UttarPradeshElections']"
43,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Sony SRS-NB10 : Hit or miss ?

#ITVideo #TechToday | @aayush_a6 https://t.co/tYdlWBxVZr","['ITVideo', 'TechToday']"
44,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Realme 9 Pro Unboxing: Budget phone, flagship camera

#ITVideo #TechToday | @aayush_a6 https://t.co/K7ct1Wt0lb","['ITVideo', 'TechToday']"
45,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"#Indore: The court will hear the matter on February 25 in the Ganji Compound area of Indore.
(Dharmendra Kumar Sharma)

https://t.co/HXfgNxlwMk",['Indore']
46,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Decoding Tigor EV: India's most affordable EV 

#ITVideo #TechToday | @aayush_a6 @ShivanChanana https://t.co/HQZonIBy0D","['ITVideo', 'TechToday']"
47,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Garmin Fenix 7 solar: Smartwatch with a solar twist

#ITVideo #TechToday | @aayush_a6 https://t.co/2P57CWl5ua","['ITVideo', 'TechToday']"
48,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"The al Shabaab militant group claimed responsibility for the attack, according to a report by SITE intelligence, which monitors militants groups online.
#Somali
https://t.co/eHatTx07Gv",['Somali']
49,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"One of them is 22-year-old Dasha, a young #Ukrainian teacher undergoing weapons training at a training camp to defend her country.
@gauravcsawant 
https://t.co/bjQqEq735J",['Ukrainian']
50,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,Smartwatch that last a month with just one charge! Watch this and more on #TechToday with @aayush_a6 | #ITLivestream https://t.co/sxTF0CHohh,"['TechToday', 'ITLivestream']"
51,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Russia conducts nuclear deal amid standoff  

#Ukraine #Russia #BreakingNews 

@gauravcsawant | (Rakesh Pawar) https://t.co/lyQdzxRLh9","['Ukraine', 'Russia', 'BreakingNews']"
52,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"#Haryana police have arrested three men with suspected ties to pro-Khalistani outfits.
(@ArvindOjha, Pawan Rathi)

https://t.co/onSQ3OfOZR",['Haryana']
53,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"#Punjab Chief Electoral Officer requested Sahibzada Ajit Singh Nagar senior SP to register FIR against Arvind Kejriwal ""for violating Model Code of Conduct and making frivolous allegations against other parties.""
@satenderchauhan 

https://t.co/xmDa2tpyL1",['Punjab']
54,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"#Russia's President Vladimir Putin launched exercises by strategic nuclear missile forces on Saturday and Washington said Russian troops massed near #Ukraine's border were ""poised to strike"".

https://t.co/hewtyqLOtc","['Russia', 'Ukraine']"
55,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Nitish Kumar said, ""My relationship with Prashant Kishor is old and not from today. There is no special meaning behind the meeting.""
@rohit_manas 
https://t.co/GNa4KNSoFb",[]
56,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,#RussiaUkraine | Exclusive Kyiv ground report | #ITLivestream @gauravcsawant https://t.co/zb4OSgznQh,"['RussiaUkraine', 'ITLivestream']"
57,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"#Delhi: During the search of the suspects, a loaded country-made pistol and a live cartridge were recovered from their possession.
@TanseemHaider 

https://t.co/tKam8hJnVE",['Delhi']
58,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Smartwatch that last a month with just one charge! Can Realme become the No.1 smartphone brand in the country? Watch this and more on #TechToday with @aayush_a6, today at 7:30 pm, only on India Today TV. 
#Promo https://t.co/tBMplfpSOi","['TechToday', 'Promo']"
59,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"BJP levels terror charge at Samajwadi Party chief Akhilesh Yadav

#ITVideo #UttarPradeshElections | @PoulomiMSaha @Rahulshrivstv https://t.co/ju36XYNYxK","['ITVideo', 'UttarPradeshElections']"
60,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Samajwadi Party chief Akhilesh Yadav has denied any links with any of the convicts in the 2008 #AhmedabadSerialBlast which claimed 56 lives and injured over 200.
(Abhishek Verma)
https://t.co/NC0fX9e2o7",['AhmedabadSerialBlast']
61,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Negative campaign of the BJP is not going to have any sort of impact on the electorate, says Political Analyst Abhishek Sudhir 

#ITVideo #UttarPradeshElections | @PoulomiMSaha @Rahulshrivstv https://t.co/7dzbS6ZbEg","['ITVideo', 'UttarPradeshElections']"
62,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Bharat Biotech's Covid-19 vaccine Covaxin has been greenlit for clinical trials in the United States.
#COVID19vaccine #Covaxin
https://t.co/OK7arNUHch","['COVID19vaccine', 'Covaxin']"
63,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Three Khalistani terrorists arrested from Sonipat | One AK-47, 3 pistols recovered

#BreakingNews #PunjabElections | @PoulomiMSaha @manjeet_sehgal https://t.co/ffPnigE0Do","['BreakingNews', 'PunjabElections']"
64,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"The Ministry of Home Affairs (MHA) has decided to grant 'Y' category security to poet and activist @DrKumarVishwas.
#ITCard #Security #ITCard 

READ: https://t.co/nnIMPQqxsB https://t.co/1vCBLn3S71","['ITCard', 'Security', 'ITCard']"
65,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Prima facie Mallareddy’s death is being considered a murder. Efforts are on to nab the perpetrators.
#AndhraPradesh | @Ashi_IndiaToday 

https://t.co/Wnk5ssZwxv",['AndhraPradesh']
66,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Latest news and updates at this hour | #ITLivestream 
@PoulomiMSaha https://t.co/ZTv2DD4mFk",['ITLivestream']
67,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"#Delhi Police registered a case and started an investigation.
@TanseemHaider 
https://t.co/boPs2JI7nu",['Delhi']
68,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Students were facing difficulty in obtaining their caste certificates in #Maharashtra.
https://t.co/9ce9tTGFiS",['Maharashtra']
69,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"An alert was issued in #Rajasthan and #Punjab following inputs about a large consignment of weapons and explosives by #Khalistani terrorists being sent to India via the #IndoPakborder.
@arvindojha
https://t.co/KRg1aVfQOc","['Rajasthan', 'Punjab', 'Khalistani', 'IndoPakborder']"
70,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"While Manipur is a dry state, fermented Rice wine is a cottage industry, processed from local ""Loken rice"" and Yang lei plant extract, this wine is fermented for several days, then distilled to make wine that is sold all across Manipur.

#Manipur #ReporterDiary 

(@AneeshaMathur) https://t.co/jelrMbcqkC","['Manipur', 'ReporterDiary']"
71,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"State Revenue Minister R Ashok said Shivakumar is not allowing Congress leaders to openly say that they are in favour of hijab while Siddaramaiah has a different stance.
#Karnataka #HijabRow 
https://t.co/XnCeEI0XQm","['Karnataka', 'HijabRow']"
72,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"Find out more about what the union minister said.
https://t.co/jm2oqDmB4L",[]
73,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,Find out how these kindergartens will help children across the state. https://t.co/iPwwGRBfn3,[]
74,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"A video of Congress leader and Rajya Sabha MP Digvijaya Singh is going viral on social media where he can be heard advising party workers to work as a team.
#viralvideo #Politics | @ReporterRavish 
https://t.co/Dc0H5hUvoK","['viralvideo', 'Politics']"
75,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"As Hijab row continues in Karnataka, @nabilajamal_  meets the locals of Udupi, the epicentre of this controversy. Listen in to what they have to say about it.
Watch the full conversation: https://t.co/uSm3MSWIS0

#ITVideo #Udupi #HijabRow #HijabBan #Karnataka https://t.co/z6CUxYAeQx","['ITVideo', 'Udupi', 'HijabRow', 'HijabBan', 'Karnataka']"
76,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"#Punjab Chief Minister Charanjit Singh Channi and Congress candidate Sidhu Moosewala from Mansa seat have been booked for violating the #modelcodeofconduct.
#PunjabElection2022 
https://t.co/tVVVq4f4dW","['Punjab', 'modelcodeofconduct', 'PunjabElection2022']"
77,IndiaToday,"Brings you news breaks: Exclusive political, entertainment, sports insight, unbiased-nonaligned. We are also on Instagram : https://t.co/4QkZBcxSJ5",India,"The #Australian Defence Department said that a Chinese navy ship fired a laser at one of its surveillance aircraft, putting the lives of the crew in danger.
#World #China 
https://t.co/Az8Af6hlwj","['Australian', 'World', 'China']"
