Date,User,Tweet
2022-08-16 03:52:10+00:00,republic,"#BREAKING | Sensational double murder case in Delhi: 75-year-old woman and daughter-in-law brutally murdered. Police suspect robbery , probe on - https://t.co/g7JNJa31xM https://t.co/H7PHaHAhg5"
2022-08-14 08:10:35+00:00,IndiaToday,"Delhi Police has arrested two men accused in 13 robbery cases during security checks at lodging facilities ahead of Independence Day
@TanseemHaider 
https://t.co/B1xhfHpuNP"
2022-08-13 14:16:20+00:00,republic,"#BREAKING | Tamil Nadu: Gold worth Rs 20 crores robbed in Chennai.

Watch here- https://t.co/8KSmYeCUmD https://t.co/Rw3DhiRjlY"
2022-08-13 14:03:51+00:00,republic,"#BREAKING | Tamil Nadu: Gold worth Rs 20 crores robbed in Chennai.

Watch here-

https://t.co/8KSmYeCUmD https://t.co/oONu7pAU0j"
2022-08-13 03:30:06+00:00,IndiaToday,"The #BombayHighCourt on Friday acquitted five men who were in jail for seven years on robbery charges.
@journovidya 
https://t.co/XsKMjQP67r"
2022-08-12 14:15:07+00:00,IndiaToday,"Three accused who robbed a Karol Bagh-based gold trader at gun point were arrested by a team of the Special Cell of the Delhi Police on Thursday night.
(@TanseemHaider )
#Delhi #Crime 
https://t.co/BZtU7S7CKk"
2022-08-11 04:04:05+00:00,republic,Ajax captain Dusan Tadic 'wounded' in violent armed robbery at Amsterdam home https://t.co/HciCdFtWVD
2022-08-10 07:50:12+00:00,IndiaToday,"Another one bites the dust as the Decentralised Finance (DeFi) protocol https://t.co/JDAmDfmcm2 gets robbed of over $570,000 in DAI and USDC, from eight reported victims through a malicious contract.
(@SourishSamanta)

https://t.co/zIOOIrLSOV"
2022-08-10 01:30:00+00:00,TimesNow,"#Maharashtra : #woman cop in ACB net for demanding Rs 1 lakh bribe from #robbery case accused

https://t.co/s0Fyzq7KKm"
2022-08-08 10:20:00+00:00,TimesNow,"#Meerut : Wife, granddaughter of retired cop #killed ; #Police suspect #robbery 

https://t.co/lp7KrxPSzU"
2022-08-04 13:30:50+00:00,IndiaToday,"Two members of an interstate robbery gang named 'Namaste gang', were arrested after an encounter with police in east Delhi’s Vivek Vihar area.
(@arvindojha/@TanseemHaider)
#Delhi 
https://t.co/dAF5iAyZhZ"
2022-08-02 12:25:11+00:00,republic,Delhi: Police use CCTV footage to track down 2 people who robbed jewellery store https://t.co/v7kVWsKYUA
2022-07-30 06:00:01+00:00,TimesNow,"Madhya Pradesh: Food delivery agent with Zomato robbed, stabbed to death in Indore.

https://t.co/vw9C38zonU"
2022-07-23 08:54:32+00:00,CNBCTV18News,"One of the most prominent freedom fighters in the history of Indian Independence movement #ChandrashekharAzad reorganised the HRA and participated in the Kakori train robbery and assassination of John Saunders

https://t.co/lGimNlemGS"
2022-07-16 01:01:17+00:00,ndtv,"#Delhi | ""A robbery took place at Lajpat Nagar flyover of South East Delhi when four men on two bikes (accused) threw chilli powder into the eyes of men travelling in an auto rickshaw and looted over Rs 30-40 lakhs from them. The accused fled away"": Delhi Police | reported by ANI https://t.co/gwsKrscb3Q"
2022-07-14 21:30:00+00:00,ndtv,Brave Security Guard Single-Handedly Foils Robbery Bid In Punjab's Moga https://t.co/SfxuBk0Lbk https://t.co/IP7SRp6y4e
2022-07-13 02:21:42+00:00,republic,Punjab: Security guard foils attempted robbery by 3 masked men in Moga https://t.co/phduLXcw3f
2022-07-10 14:40:00+00:00,TimesNow,"A gang of thieves allegedly robbed an ATM in #MadhyaPradesh's Chhatarpur and decamped with over Rs 17 lakh.  

https://t.co/bb96WsjWZP"
2022-07-08 09:54:46+00:00,TimesNow,"Criminals who robbed Rs 1.5 crore jewellery in Bengaluru were held in Rajasthan after a dramatic chase.

#ViralVideo #Bengaluru #Rajasthan https://t.co/lOJX0QHTnc"
2022-07-05 13:52:42+00:00,TimesNow,"#KolheMurderVideos

Police knew he (Umesh Kolhe) was killed for supporting Nupur, but they floated a theory of robbery. Had police acted then, probably Kanhaiya Lal could've been saved: Varun Singh, Senior Journalist

@PadmajaJoshi https://t.co/cjTQz5gUE1"
2022-07-05 10:41:16+00:00,IndiaToday,"17 Indian banks were allegedly defrauded of Rs 34,615 crore by DHFL, run by the Wadhawan brothers. It's another sorry chapter in the ongoing saga of the great Indian bank robbery. To know more download the India Today Magazine- https://t.co/wptDKFCpDs
#ITMagPromo https://t.co/v3rKadG5oo"
2022-07-04 11:41:00+00:00,TimesNow,"#Delhi: Robbers steal Rs. 21 lakhs at gunpoint, organised ‘Bhandara’ from robbed money; held

https://t.co/CGURLaSZYh"
2022-07-04 08:05:45+00:00,IndiaToday,"Taking a cue from the Bollywood flick, Dhoom, a gang of thieves robbed a school of computers and Xerox machines

#Odisha #Theft | @iamsuffian 
https://t.co/wB1W25uvaE"
2022-07-02 18:36:04+00:00,ndtv,"#AmravatiMurder | Police Chief Tried To Hide It As Robbery, Alleges MP Navneet Rana https://t.co/k78qTtgyOx https://t.co/nT0yS5S6Ng"
2022-07-02 16:00:41+00:00,TimesNow,"#AmravatiMurder

If somebody is murdered then there will automatically be a 'murder' and then you put 'motive'. In this case, robbery was put as a 'motive': @tehseenp

Vikram Singh, Former DGP UP also joins the discussion.

 @thenewshour Special Edition | @MadhavGK https://t.co/oCsedE4Zlx"
2022-07-02 15:47:01+00:00,TimesNow,"#AmravatiMurder

This case was brushed under the carpet. In fact, the report shows that this case was registered under the case of robbery. You can understand that it was under some kind of political pressure: @drnigam15

 @TheNewshour Special Edition | @MadhavGK https://t.co/leQYeQuNho"
2022-07-02 12:11:00+00:00,TimesNow,"Amravati Killing: Brother of slain chemist rejects reports linking murder with robbery

#UmeshKohle #Amravati 

https://t.co/hMSIO5APaC"
2022-07-02 12:02:44+00:00,TimesNow,"#AmravatiMurder

""The guardian minister of Amravati, Yashomati Thakur tried to hush up this case as a case of pity robbery..."", says @neelakantha

Nirmal Kaur, Former DGP Jharkhand also shares her views. https://t.co/uJbmFHCwEs"
2022-07-02 03:17:23+00:00,IndiaToday,"A Delhi man was arrested on Friday for allegedly placing a fake robbery call in order to steal his wife's money.
#Delhi #Crime | @TanseemHaider 
https://t.co/zB2PiaVMkF"
2022-07-01 14:04:31+00:00,IndiaToday,"Pune Police crime branch has arrested the leader of 'Koyta gang', who barged into a bar in Ghodegaon of Pune's Ambegaon and carried out a robbery.

https://t.co/AE7eQI4qNG"
2022-06-29 12:54:37+00:00,TimesNow,"#Chhattisgarh: Thieves murder dog while escaping after failed robbery bid

https://t.co/hQgVt324z5"
2022-06-29 07:49:32+00:00,TimesNow,"#Bihar Shocker On Camera: Armed Robbers Loot Jewellery Shop, Kill Owner

#Robbery #Crime https://t.co/F02WvcjLlC"
2022-06-26 11:41:00+00:00,TimesNow,"Australian citizen assaulted &amp; robbed in Bengaluru, one arrested

https://t.co/h9Y5tgutYX"
2022-06-25 07:45:00+00:00,TimesNow,"#Delhi: a man had been robbed of Rs 34 lakh near the Sarai Rohilla overpass

https://t.co/N7aArHTutj"
2022-06-18 12:29:33+00:00,TimesNow,"#Bengaluru: Man jailed thrice for ATM theft; robbery bid foiled as nabbed again for trying to loot ATM kiosk

https://t.co/CwYo8Rzrns"
2022-06-15 02:07:03+00:00,ndtv,"#Delhi | ""A PCR call was received in PS South Campus at 3:30 am that some persons were trying to cut the ATM machine near Satya Niketan and ATM caught fire. Later it was revealed that a CASH unit inside the HDFC Bank ATM has been robbed using a gas cutter"": Delhi Police

(ANI)"
2022-06-13 23:30:00+00:00,TimesNow,"CID actor Hrishikesh Pandey gets robbed inside a bus; says, ‘It is very ironic’

https://t.co/uML9L0ZISr"
2022-06-12 09:56:58+00:00,CNNnews18,"#BREAKING | Armed attack in Punjab, youth robbed and shot in Amritsar 

@TejinderSsodhi brings in more details 

Join this broadcast with @akankshaswarups 

#Punjab #Amritsar #crime https://t.co/sKRdHKKKLg"
2022-06-10 22:30:00+00:00,TimesNow,"Airforce personnel injured, his wife killed during robbery in #Bihar's Motihari

https://t.co/590KlpBftn"
2022-06-05 13:43:52+00:00,republic,J&amp;K: Temple desecrated in Doda in suspected robbery attempt https://t.co/nOofsKm17E
2022-06-03 04:49:12+00:00,IndiaToday,"A gang of eight men were arrested by the Chittoor Police in Andhra Pradesh, on Thursday, June 2, after an unsuccessful bank robbery.
#AndhraPradesh #Crime| @KP_Aashish 
https://t.co/MTVRPpdJ1M"
2022-06-02 15:23:22+00:00,IndiaToday,"A thief climbed onto the balcony of a house in Spiderman style and committed robbery.

#Viral #Delhi 

https://t.co/3VpbbdXkd9"
2022-06-01 15:34:10+00:00,IndiaToday,"Out on bail, a 24-year-old thief was arrested again by Mumbai Police after he stole a phone in Marine Drive. The accused has a record of thievery, robbery and trespassing.
(@pencilpatrakar ) 
#India #Mumbai 
https://t.co/BgOhct4zsz"
2022-05-23 12:22:31+00:00,republic,"Kerala Congress protests against Centre, state on fuel prices, calls it 'direct robbery' https://t.co/RuISi8BGz1"
2022-05-23 09:11:39+00:00,republic,"Widow gangraped, beaten up and robbed by four men in Tamil Nadu's Namakkal; 3 arrested https://t.co/U8PD6dCmaM"
2022-05-19 13:24:02+00:00,republic,"#LIVE | 'Our dignity is being robbed, they are making a mockery of the judicial system': AIMIM Chief @asadowaisi on Mathura temple case

Watch here - https://t.co/bbyaMwOij9 https://t.co/DdEwpcawnx"
2022-05-19 13:14:05+00:00,republic,"#LIVE | 'Our dignity is being robbed, they are making a mockery of the judicial system': AIMIM Chief @asadowaisi on Mathura temple case

Watch here - https://t.co/hBNv8QrX25 https://t.co/Fy4wXCIYMC"
2022-05-19 10:52:22+00:00,CNNnews18,"#BreakingNews | Muslims robbed of dignity: Asaduddin Owaisi 

@swastikadas95 shares more details. 

Shehzad Poonawalla, BJP (@Shehzad_Ind) shares his views with @SiddiquiMaha. https://t.co/OzB61KugBl"
2022-05-19 06:47:19+00:00,IndiaToday,"Two brides robbed their in-laws of cash and jewellery worth Rs 7 lakh after the wedding in Bharatpur district, Rajasthan and fled from their house.
(@sharatjpr ) 
#India #Rajasthan #News 
https://t.co/PYiBTXHvoG"
2022-05-17 13:16:50+00:00,IndiaToday,"Two bike-borne miscreants robbed Rs 50 lakh after killing a man near HDFC Bank at Kamani Chowk in Yamunanagar.
#Haryana #Crime 
https://t.co/OLkbVsKXRF"
2022-05-16 05:45:00+00:00,TimesNow,"An influencer has raised Rs 1.8 crore for an Uber driver who helped her out after she was robbed

#Viral #Uber 

https://t.co/ZsbHh0o7hv"
2022-05-13 08:50:31+00:00,IndiaToday,"Malayali women robbery gangs are on Kochi Police’s radar, say officials

https://t.co/EuoNs7xE9q"
2022-05-08 11:42:33+00:00,republic,"Mylapore Murder Case: Driver and 2 others arrested for robbery, murder &amp; burying bodies https://t.co/V4LjF4qtLi"
2022-05-07 06:19:00+00:00,TimesNow,"Young woman robbed, murdered at her home in Uttar Pradesh's Ghaziabad

#UttarPradesh 

https://t.co/6r6bxXJ7Na"
2022-05-06 05:59:34+00:00,IndiaToday,"In an incident that took place on Thursday in the DLF area of Sahibabad in Ghaziabad, a 20-year-old woman was murdered, following which her house was also robbed.
#Ghaziabad #Crime | @KumarKunalmedia 
https://t.co/XMZpDLMnCQ"
2022-05-02 07:00:51+00:00,IndiaToday,"Police have caught the accused on CCTV footage who allegedly robbed and murdered a builder in Posh Civil Lines area in Delhi on Sunday. 
#Delhi #News | @Ramkinkarsingh 
https://t.co/KZfS0mSoaU"
2022-04-27 15:55:36+00:00,TimesNow,"#PMFuelFactCheck

I call it a 'great oil robbery' done by PM Modi's govt because petroleum taxes like GST are regressive...: @JhaSanjay

@TheNewshour with @NavikaKumar https://t.co/prFDuyHQS0"
2022-04-27 07:00:02+00:00,TimesNow,"The robbery case was solved by the police using FASTag details of the accused's vehicle.

#Bengaluru #Crime 

https://t.co/DHxYfHzFa6"
2022-04-23 06:08:10+00:00,IndiaToday,"Mumbai Police has arrested two men accused of mugging an Indian Navy sailor, who suffered deep cut injuries on his palm after he ended up in a scuffle to avoid being robbed. (By @pencilpatrakar)

https://t.co/rEzvbBM9pk"
2022-04-21 08:17:12+00:00,CNNnews18,"2017 Kodanad Robbery &amp; Murders Case | Sasikala to be quizzed. Reportedly, Jayalalithaa's close aide has promised to cooperate fully with the police.

@nimumurali shares details!

Join the broadcast with @shreyadhoundial https://t.co/f1zk8klXKd"
2022-04-21 07:26:41+00:00,ndtv,"#Chennai | VK Sasikala is being questioned by a police team at her residence, in connection with the 2017 Kodanad Estate murder and robbery case

(ANI) https://t.co/QIpyYlGI1Q"
2022-04-20 12:47:53+00:00,ndtv,#NDTVBeeps | Caught on Camera: Thief Dancing After Robbery https://t.co/QB0G7E7hXs
2022-04-18 04:16:59+00:00,ndtv,"On Camera, Woman Hit By Car As She Tries To Flee Robbery In Los Angeles https://t.co/1FbUpa9B1O https://t.co/lIOLPBFP8H"
2022-04-16 12:23:17+00:00,IndiaToday,"Two Sikh men were assaulted and robbed in New York. Ten days ago, an elderly man, Nirmal Singh, was attacked in the same neighbourhood. A pattern of violence against Sikhs has emerged in the USA. 

#NewsMo #violenceAgainstSikh #hatecrimes #Sikh #USA https://t.co/XEpUBpp9wz"
2022-04-13 06:29:08+00:00,IndiaToday,"In the second such assault in less than 10 days, two Sikh men were attacked and robbed in Queens
#NewYork #RichmondHills

https://t.co/l9rH7Uvobx"
2022-04-12 11:20:00+00:00,TimesNow,"Man from Maharashtra's Pune Purandar throttles a woman to death, robbed her gold ornaments and withdrew cash from her bank account

#Maharashtra #Pune 

https://t.co/ddR4fFpRcD"
2022-04-12 03:16:49+00:00,IndiaToday,"#FactCheck: Daylight robbery? Staged video of woman getting drugged and robbed goes viral as the real deal
(@AFWACheck) (@KunduChayan)  
Click here to read more: https://t.co/e8AXnivRvc https://t.co/Lzs9udiiW8"
2022-04-11 11:57:35+00:00,IndiaToday,"Police arrested three criminals involved in snatching and robbery cases in #Noida on Monday. Two accused sustained bullet injuries during the gunfight and were taken to a hospital for medical treatment.

https://t.co/ZzkPJwiWz6"
2022-04-11 04:50:00+00:00,TimesNow,"In yet another shocking incident, a woman was allegedly robbed and molested by a man on the pretext of providing her a better job

#Kolkata 

https://t.co/THt3KdOBwh"
2022-04-09 19:30:00+00:00,IndiaToday,"#SonamKapoor and #AnandAhuja's New Delhi residence has reportedly been robbed. Cash and jewellery worth Rs 1.41 crore were stolen. #RE
https://t.co/8qb1B9DtQW"
2022-04-09 14:24:01+00:00,IndiaToday,"A 54-year-old Italian embassy councillor was robbed in Delhi on the Barapulla flyover. The Delhi Police arrested two accused in the matter.
#Delhi #Crime | @TanseemHaider 
https://t.co/kVDLEv4yz4"
2022-04-09 12:05:47+00:00,ndtv,"#SonamKapoor's Delhi Home Robbed; Cash, Jewellery Worth 2.4 Crores Stolen

NDTV's Akshay Dongare reports

Read more: https://t.co/QQyJKqJU7F https://t.co/Z0y8vImLr4"
2022-04-09 05:13:43+00:00,TimesNow,"#SonamKapoor-Anand Ahuja's house in #NewDelhi gets robbed of Rs 1.41 crore

https://t.co/KZ7UMCdOqz"
2022-04-07 14:27:44+00:00,IndiaToday,"The miscreants shot at the youth when the robbery attempt failed. | @TanseemHaider
#Crime #Ghaziabad 
https://t.co/JewNPpidBR"
